system,arrival_rate,weights,avg_response,p99_response,throughput,final_queue_size,crash
baseline,2,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5221848753655465,5.013500528785657,2.015,0,0
baseline,2,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.510158945079604,5.045787278315879,1.905,1,0
baseline,2,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.5099248725702417,5.050023694087763,1.9,1,0
baseline,2,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6389841282826416,5.034154071914081,1.755,1,0
baseline,4,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5449651098832042,5.091101545929861,3.7,0,0
baseline,4,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.579260081662562,5.068318372533725,3.725,1,0
baseline,4,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.554014456241853,5.0523509202513575,3.9,0,0
baseline,4,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.580771196240517,5.059429746809134,4.26,0,0
baseline,6,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.6134002252360804,5.096344658149273,5.555,0,0
baseline,6,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.5766971916553674,5.088813984045384,5.615,0,0
baseline,6,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.6313316208063844,5.130093652527653,6.14,0,0
baseline,6,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.6128707885301066,5.172373269023434,5.965,1,0
