system,arrival_rate,weights,avg_response,p99_response,throughput,final_queue_size,crash
baseline,2,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.500570607697694,4.803398280791992,1.3,0,0
baseline,2,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.8188702717309737,5.0551194997129345,1.85,0,0
baseline,2,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.22690652127817,4.652842075944997,1.65,0,0
baseline,2,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.2409343293701762,5.0239118039029895,1.35,0,0
baseline,4,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.451837745431741,5.000205116356762,3.05,0,0
baseline,4,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.512670747344458,4.930286370216966,2.85,0,0
baseline,4,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.5315071129578293,5.016797981256913,2.55,0,0
baseline,4,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.4254160943128316,4.805230138144922,3.35,0,0
baseline,6,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5532563381963236,5.020653917598022,5.8,0,0
baseline,6,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.538023743159551,5.031807544034647,4.0,0,0
baseline,6,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.603410978547247,5.158733577955821,4.85,2,0
baseline,6,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.5167614143265142,5.118106108266107,4.25,0,0
baseline,8,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.749299412427082,5.304034010357339,6.1,5,0
baseline,8,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.688112178212559,5.129228148427097,6.55,0,0
baseline,8,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.8959374754054283,5.473983601222897,7.95,0,0
baseline,8,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.672792777444104,5.431499199717385,6.95,3,0
baseline,9,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.8197894271823745,5.515450509533434,7.35,1,0
baseline,9,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.755142935936522,5.330842547075809,7.55,0,0
baseline,9,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.7256626007755593,5.408508668704686,6.95,2,0
baseline,9,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.9164996858630587,5.620808936350969,8.05,8,0
baseline,10,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",4.151406984350468,6.319657624349285,7.9,10,0
baseline,10,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",4.538034025434278,6.454755931573693,7.6,9,0
