arrival_rate,weights,avg_response,p99_response,throughput,final_queue_size,crash
2,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.5219851678671867,5.001404066370098,1.96,0,0
2,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.537098506375696,5.035791913999558,2.09,1,0
2,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.4884481128402647,4.9874408883234755,1.895,0,0
2,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.5705035274377854,5.038199156717173,1.915,0,0
4,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.6267742509678715,5.080852222972676,3.94,0,0
4,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.5999273971301538,5.067867145291011,3.9,0,0
4,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.5518018235891837,5.08012271033133,3.905,0,0
4,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.535477035989685,5.1106481861574125,3.955,0,0
6,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.632055197041102,5.167444433765702,6.145,0,0
6,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.6382326096938016,5.11175477978649,5.7,1,0
6,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.6424662494640074,5.204018821884943,6.035,1,0
6,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.614811911843002,5.156255216046799,5.83,0,0
8,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",3.7198710880694907,5.413570490024785,7.63,0,0
8,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",3.725456856812247,5.47454672758049,7.73,6,0
8,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",3.7437523919402325,5.3665746666148575,7.855,1,0
8,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",3.7960524164738505,5.580399395291343,8.1,0,0
10,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",4.936512913131226,9.62446256167459,9.615,17,0
10,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",6.300416026869657,11.039206672860473,9.74,53,0
10,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",7.641016661870775,12.983471489867746,9.805,55,0
10,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",8.996520954239061,17.236009515510837,9.79,91,0
12,"{'deadline': 0.5, 'exec': 0.2, 'wait': 0.1, 'resource': 0.1, 'business': 0.1}",19.70679698204692,37.14879022277926,9.825,373,1
12,"{'deadline': 0.3, 'exec': 0.3, 'wait': 0.2, 'resource': 0.1, 'business': 0.1}",20.154937435588888,37.370010913230715,9.825,390,1
12,"{'deadline': 0.25, 'exec': 0.25, 'wait': 0.25, 'resource': 0.15, 'business': 0.1}",22.335498443873643,42.33158932076507,9.79,465,1
12,"{'deadline': 0.2, 'exec': 0.35, 'wait': 0.2, 'resource': 0.15, 'business': 0.1}",18.14296833942623,32.96709967507554,9.825,373,1
